TITLE Flamberge
BPM   128.0
NOTES
08 7.5
01 7.65625
04 7.734375
01 7.96875
08 8.203125
01 8.4375
04 8.59375
01 8.671875
08 8.90625
04 9.140625
02 9.375
01 9.53125
08 9.609375
02 9.84375
04 10.078125
01 10.3125
08 10.46875
01 10.546875
02 10.78125
04 11.015625
08 11.25
01 11.40625
04 11.484375
02 11.71875
08 11.953125
01 12.1875
02 12.34375
04 12.421875
02 12.65625
01 12.890625
01 13.359375
01 13.828125
01 14.296875
08 14.53125
04 14.765625
12 15.0
08 15.234375
09 15.46875
04 15.703125
05 15.9375
08 16.171875
12 16.40625
02 16.640625
03 16.875
02 17.109375
06 17.34375
02 17.578125
03 17.8125
08 18.046875
10 18.28125
04 18.515625
05 18.75
08 18.984375
12 19.21875
02 19.453125
06 19.6875
08 19.921875
09 20.15625
04 20.390625
05 20.625
08 20.859375
12 21.09375
02 21.328125
03 21.5625
08 21.796875
01 21.953125
04 22.03125
02 22.265625
06 22.5
01 22.734375
09 22.96875
04 23.203125
06 23.4375
04 23.671875
12 23.90625
01 24.140625
09 24.375
04 24.609375
12 24.84375
02 25.078125
10 25.3125
01 25.546875
05 25.78125
01 26.015625
03 26.25
04 26.484375
12 26.71875
01 26.953125
03 27.1875
01 27.421875
09 27.65625
02 27.890625
06 28.125
01 28.359375
09 28.59375
04 28.828125
06 29.0625
01 29.296875
08 29.453125
04 29.53125
02 29.765625
06 30.0
08 30.15625
01 30.234375
08 30.46875
02 30.703125
04 30.859375
02 30.9375
08 31.09375
01 31.171875
08 31.40625
04 31.640625
02 31.875
01 32.03125
08 32.109375
02 32.34375
04 32.578125
01 32.734375
04 32.8125
01 32.96875
08 33.046875
04 33.28125
02 33.515625
01 33.75
08 33.90625
02 33.984375
04 34.21875
01 34.453125
08 34.609375
04 34.6875
02 34.84375
04 34.921875
08 35.15625
01 35.390625
04 35.625
02 35.78125
08 35.859375
01 36.09375
02 36.328125
04 36.484375
02 36.5625
01 36.71875
