TITLE Carmelia
BPM   210.0
NOTES
1000 8.714285714285714
0001 8.857142857142858
0100 8.928571428571429
0001 9.0
0100 9.071428571428571
0001 9.142857142857142
1000 9.285714285714285
0100 9.357142857142856
0010 9.428571428571429
0001 9.5
1000 9.571428571428571
1000 17.857142857142858
0001 18.0
0010 18.07142857142857
0001 18.142857142857142
1000 18.285714285714285
0001 18.428571428571427
0010 18.57142857142857
0001 18.71428571428571
0100 18.857142857142858
0010 19.0
1000 19.142857142857142
0001 19.21428571428571
1000 19.285714285714285
0001 19.357142857142854
0100 19.428571428571427
0010 19.5
1000 19.57142857142857
0001 19.642857142857142
1000 19.71428571428571
0100 19.785714285714285
0010 19.857142857142854
0001 19.928571428571427
0010 20.0
0100 20.07142857142857
1000 20.142857142857142
0001 20.21428571428571
0010 20.285714285714285
0100 20.357142857142854
1000 20.428571428571427
0001 20.5
1000 20.57142857142857
0010 20.71428571428571
0100 20.857142857142854
0001 20.999999999999996
1000 21.142857142857142
0100 21.285714285714285
0010 21.428571428571427
0001 21.499999999999996
0010 21.57142857142857
0100 21.64285714285714
1000 21.71428571428571
0001 21.785714285714285
0100 21.857142857142854
0010 21.928571428571427
0100 21.999999999999996
0001 22.07142857142857
1000 22.14285714285714
0001 22.21428571428571
0010 22.285714285714285
0100 22.357142857142854
0010 22.428571428571427
0001 22.499999999999996
1000 22.57142857142857
0010 22.64285714285714
0100 22.71428571428571
0010 22.785714285714285
1000 22.857142857142854
0001 22.999999999999996
0100 23.14285714285714
0010 23.28571428571428
1000 23.428571428571427
0001 23.57142857142857
0010 23.71428571428571
0100 23.78571428571428
1000 23.857142857142854
0001 23.928571428571423
1000 24.0
0010 24.071428571428573
0100 24.142857142857142
0001 24.214285714285715
1000 24.285714285714285
0100 24.357142857142858
0010 24.428571428571427
0001 24.5
0010 24.571428571428573
0100 24.642857142857142
1000 24.714285714285715
0001 24.785714285714285
0100 24.857142857142858
0010 24.928571428571427
1000 25.0
0001 25.07142857142857
1000 25.142857142857142
0010 25.285714285714285
0100 25.428571428571427
0010 25.57142857142857
1000 25.714285714285715
0001 25.857142857142858
0010 26.0
0100 26.07142857142857
1000 26.142857142857142
0100 26.214285714285715
0010 26.285714285714285
0100 26.357142857142858
1000 26.428571428571427
0001 26.5
0100 26.57142857142857
0010 26.642857142857142
0100 26.71428571428571
0001 26.785714285714285
0100 26.857142857142858
0010 26.928571428571427
0100 27.0
0001 27.07142857142857
1000 27.142857142857142
0100 27.21428571428571
0010 27.285714285714285
0001 27.357142857142854
