TITLE Luck-Ga-Kist
BPM   199.0
NOTES
0001 9.64824120603015
0010 9.798994974874372
0100 9.874371859296481
1000 9.949748743718592
0100 10.025125628140703
0010 10.175879396984923
0001 10.251256281407034
1000 10.326633165829145
0001 10.402010050251256
0100 10.477386934673365
0010 10.552763819095476
1000 10.854271356783919
0001 11.00502512562814
0010 11.08040201005025
0100 11.15577889447236
0010 11.306532663316581
0001 11.381909547738692
1000 11.457286432160803
0010 11.532663316582914
0100 11.608040201005025
0001 11.683417085427134
1000 11.758793969849245
0100 11.909547738693465
0010 11.984924623115576
0001 12.060301507537687
1000 12.135678391959798
0001 12.21105527638191
0100 12.286432160804019
0010 12.36180904522613
1000 12.51256281407035
0001 12.58793969849246
0010 12.663316582914572
0100 12.738693467336683
0010 12.814070351758794
0001 12.889447236180903
1000 12.964824120603014
0010 13.115577889447234
0100 13.266331658291456
0001 13.341708542713567
0100 13.417085427135678
0010 13.492462311557787
1000 13.567839195979898
0001 13.64321608040201
0010 13.718592964824118
0100 13.79396984924623
0010 13.86934673366834
0001 13.944723618090451
1000 14.020100502512562
0010 14.095477386934672
0100 14.170854271356783
0010 14.246231155778894
1000 14.321608040201003
0001 14.472361809045225
0010 14.547738693467336
0100 14.623115577889447
1000 14.773869346733667
0010 14.999999999999998
0100 15.07537688442211
0001 15.226130653266331
1000 15.30150753768844
0010 15.376884422110551
1000 15.527638190954772
0100 15.678391959798994
0010 15.979899497487436
0001 16.055276381909547
0010 16.130653266331656
0100 16.20603015075377
1000 16.281407035175878
0001 16.356783919597987
0100 16.4321608040201
0010 16.50753768844221
1000 16.58291457286432
0100 16.884422110552762
0010 16.95979899497487
0001 17.035175879396984
0010 17.110552763819094
0100 17.185929648241206
1000 17.261306532663315
0001 17.336683417085425
1000 17.412060301507537
0010 17.487437185929647
0100 17.562814070351756
0001 17.63819095477387
1000 17.713567839195978
0100 17.788944723618087
0010 17.8643216080402
0001 17.93969849246231
1000 18.015075376884422
0001 18.09045226130653
0100 18.16582914572864
0010 18.241206030150753
1000 18.316582914572862
0001 18.391959798994975
0010 18.542713567839193
0100 18.618090452261306
1000 18.693467336683415
0001 18.844221105527637
1000 18.994974874371856
0001 19.2964824120603
0100 19.44723618090452
0010 19.52261306532663
1000 19.597989949748744
0001 19.673366834170853
1000 19.748743718592962
0100 19.824120603015075
0010 19.899497487437184
0001 19.974874371859293
1000 20.050251256281406
0010 20.125628140703515
0100 20.201005025125625
0001 20.351758793969847
1000 20.42713567839196
0001 20.50251256281407
0100 20.577889447236178
0010 20.65326633165829
1000 20.7286432160804
0001 20.804020100502512
0010 20.87939698492462
0100 20.95477386934673
0010 21.030150753768844
0001 21.105527638190953
1000 21.180904522613062
0100 21.256281407035175
0010 21.331658291457284
0001 21.407035175879393
1000 21.557788944723615
0010 21.633165829145728
1000 21.708542713567837
0001 21.783919597989946
0100 21.85929648241206
0010 22.01005025125628
1000 22.08542713567839
0001 22.236180904522612
0010 22.31155778894472
0100 22.462311557788944
1000 22.613065326633162
0001 22.763819095477384
0100 22.914572864321606
0010 22.989949748743715
1000 23.065326633165828
0010 23.140703517587937
0100 23.21608040201005
0001 23.29145728643216
1000 23.36683417085427
0001 23.44221105527638
0010 23.51758793969849
0100 23.5929648241206
1000 23.668341708542712
0001 23.74371859296482
0100 23.81909547738693
0001 24.120603015075375
0010 24.195979899497484
0100 24.271356783919597
1000 24.346733668341706
0001 24.42211055276382
1000 24.497487437185928
0010 24.572864321608037
0100 24.64824120603015
0001 24.72361809045226
1000 24.79899497487437
0100 24.87437185929648
0010 24.94974874371859
0100 25.0251256281407
1000 25.17587939698492
0001 25.251256281407034
0100 25.326633165829143
0010 25.402010050251253
1000 25.477386934673365
0001 25.552763819095475
0010 25.628140703517587
0100 25.703517587939697
1000 25.778894472361806
0100 25.85427135678392
1000 25.929648241206028
0001 26.005025125628137
0100 26.08040201005025
0001 26.15577889447236
0100 26.23115577889447
0010 26.30653266331658
1000 26.38190954773869
0001 26.457286432160803
1000 26.532663316582912
0100 26.60804020100502
0010 26.683417085427134
0100 26.758793969849243
1000 26.834170854271356
0001 26.909547738693465
0100 26.984924623115575
0001 27.060301507537687
0100 27.135678391959797
0010 27.211055276381906
1000 27.28643216080402
0001 27.361809045226128
1000 27.437185929648237
0100 27.58793969849246
0010 27.73869346733668
0001 27.81407035175879
1000 27.889447236180903
0010 27.964824120603012
0100 28.040201005025125
0001 28.115577889447234
1000 28.190954773869343
0100 28.266331658291456
0010 28.341708542713565
0001 28.417085427135675
0010 28.492462311557787
0100 28.567839195979897
1000 28.643216080402006
1001 28.94472361809045
1001 29.09547738693467
0001 29.246231155778894
0100 29.396984924623112
0010 29.472361809045225
1000 29.623115577889443
0001 29.698492462311556
0010 29.849246231155774
0100 29.999999999999996
1100 30.15075376884422
1000 30.30150753768844
0001 30.452261306532662
0100 30.60301507537688
0010 30.678391959798994
1000 30.829145728643212
0001 30.904522613065325
1000 30.979899497487434
0100 31.055276381909543
