TITLE blackbird
BPM   180.0
NOTES
0001 10.666666666666666
1000 11.0
0010 11.333333333333332
0100 11.666666666666666
0001 12.0
0010 12.333333333333334
0100 12.666666666666666
1000 13.0
0001 13.166666666666666
0100 13.333333333333332
0010 13.666666666666666
0100 13.999999999999998
0001 14.333333333333332
0010 14.666666666666666
0100 15.0
0010 15.333333333333332
0001 15.583333333333332
1000 15.666666666666666
0010 15.833333333333332
0100 15.916666666666666
0010 16.0
1000 16.166666666666668
0001 16.333333333333332
0010 16.5
0100 16.666666666666668
0010 16.833333333333332
0001 17.0
1000 17.166666666666668
0100 17.333333333333332
1000 17.5
0001 17.666666666666664
0100 17.833333333333332
0010 18.0
1000 18.083333333333332
0001 18.166666666666664
0010 18.333333333333332
0001 18.416666666666664
1000 18.5
0001 18.583333333333332
1000 18.666666666666664
0010 18.749999999999996
1000 18.833333333333332
0010 18.916666666666664
1000 18.999999999999996
0010 19.083333333333332
1000 19.166666666666664
0010 19.249999999999996
0100 19.333333333333332
0001 19.416666666666664
0100 19.499999999999996
0001 19.583333333333332
0100 19.666666666666664
0001 19.749999999999996
0100 19.833333333333332
0001 19.916666666666664
1000 20.0
0010 20.166666666666668
1000 20.333333333333332
0001 20.5
0010 20.666666666666668
0100 20.833333333333332
0010 21.0
0031 21.333333333333332
1000 21.5
1001 21.666666666666664
0001 21.833333333333332
0010 22.0
0100 22.166666666666664
1100 22.333333333333332
1000 22.5
0010 22.666666666666664
0100 22.833333333333332
0101 22.999999999999996
0001 23.166666666666664
1000 23.333333333333332
0100 23.499999999999996
0110 23.666666666666664
0010 23.833333333333332
0001 24.0
1000 24.166666666666668
1010 24.333333333333332
0010 24.5
0100 24.666666666666668
0001 24.833333333333332
1001 25.0
1000 25.166666666666668
0100 25.333333333333332
0010 25.5
0011 25.666666666666664
0001 25.833333333333332
1000 26.0
0010 26.166666666666664
1010 26.333333333333332
1000 26.5
0001 26.666666666666664
0010 26.833333333333332
0011 26.999999999999996
0001 27.166666666666664
0010 27.333333333333332
0100 27.499999999999996
1100 27.666666666666664
1000 27.833333333333332
0001 28.0
1000 28.166666666666668
1010 28.333333333333332
0010 28.5
0100 28.666666666666668
0001 28.833333333333332
0011 29.0
0010 29.166666666666668
0100 29.333333333333332
1000 29.5
