TITLE MANDARA
BPM   216.0
NOTES
0001 8.88888888888889
1000 9.027777777777779
0010 9.166666666666668
0100 9.305555555555555
0001 9.444444444444445
0010 9.583333333333334
0100 9.722222222222223
1000 9.86111111111111
0001 9.930555555555555
0100 10.0
0010 10.13888888888889
1000 10.277777777777779
0001 10.416666666666666
0010 10.555555555555555
0100 10.694444444444445
1000 10.833333333333334
0100 10.972222222222221
0010 11.11111111111111
0001 11.25
1000 11.38888888888889
0010 11.527777777777777
0100 11.666666666666666
0001 11.805555555555555
0010 11.944444444444445
0001 12.083333333333332
1000 12.152777777777777
0010 12.222222222222223
1010 12.500000000000002
0101 12.777777777777779
0110 13.055555555555557
1010 13.333333333333334
1000 13.472222222222223
0001 13.611111111111112
0100 13.75
0010 13.88888888888889
1000 14.027777777777779
0001 14.166666666666668
0010 14.305555555555557
0100 14.375
1000 14.444444444444445
0001 14.583333333333334
0100 14.722222222222223
0010 14.86111111111111
0100 15.0
0001 15.13888888888889
1000 15.277777777777779
0100 15.416666666666668
0010 15.555555555555557
0001 15.694444444444446
1000 15.833333333333336
0100 15.972222222222223
1000 16.111111111111114
0001 16.25
1000 16.38888888888889
0010 16.52777777777778
0100 16.597222222222225
0001 16.666666666666668
1000 16.805555555555557
0100 16.944444444444446
1000 17.083333333333336
0100 17.222222222222225
0010 17.291666666666668
0001 17.36111111111111
1000 17.430555555555557
0001 17.5
1000 17.63888888888889
0002 17.77777777777778
0103 18.055555555555557
0010 18.194444444444446
1000 18.333333333333336
0001 18.61111111111111
0010 18.75
0100 19.02777777777778
1000 19.305555555555557
0100 19.444444444444446
0010 19.583333333333332
0002 19.72222222222222
2003 20.0
3010 20.27777777777778
0100 20.416666666666668
0001 20.555555555555557
2000 20.833333333333332
3200 21.11111111111111
0320 21.38888888888889
0031 21.666666666666668
1000 21.73611111111111
0001 21.944444444444443
1000 22.01388888888889
0001 22.22222222222222
0010 22.5
0100 22.63888888888889
1000 22.77777777777778
0010 23.055555555555554
0100 23.194444444444443
0001 23.472222222222225
1000 23.750000000000004
0100 23.888888888888893
1000 24.02777777777778
0020 24.166666666666668
0230 24.444444444444446
0301 24.722222222222225
1000 24.930555555555557
0001 25.000000000000004
0100 25.27777777777778
0010 25.486111111111114
2000 25.555555555555557
3200 25.833333333333336
0320 26.111111111111114
0001 26.38888888888889
0003 26.52777777777778
0031 26.666666666666668
0100 26.944444444444446
1000 27.222222222222225
0100 27.5
0001 27.77777777777778
0100 28.055555555555557
1000 28.333333333333336
0100 28.61111111111111
0001 28.88888888888889
1000 28.958333333333332
0010 29.02777777777778
0100 29.09722222222222
0001 29.166666666666668
1000 29.23611111111111
0100 29.305555555555557
0010 29.375
0001 29.444444444444446
0010 29.51388888888889
0001 29.583333333333332
1000 29.65277777777778
0010 29.72222222222222
0100 29.791666666666668
0010 29.86111111111111
1000 29.930555555555557
0001 30.0
0010 30.069444444444443
0100 30.13888888888889
1000 30.208333333333332
0001 30.27777777777778
0100 30.34722222222222
0001 30.416666666666668
0100 30.48611111111111
0010 30.555555555555557
1000 30.625
0001 30.694444444444443
1000 30.76388888888889
0100 30.833333333333332
1000 30.90277777777778
0100 30.97222222222222
0010 31.041666666666668
0001 31.111111111111114
0010 31.388888888888893
1000 31.66666666666667
0010 31.944444444444446
0001 32.22222222222222
0010 32.5
2000 32.77777777777778
3020 33.05555555555556
0031 33.333333333333336
1000 33.40277777777778
0001 33.47222222222222
0100 33.54166666666667
0010 33.611111111111114
1000 33.68055555555556
0001 33.75
0010 33.81944444444445
0100 33.88888888888889
1000 33.958333333333336
0100 34.02777777777778
0010 34.09722222222222
0001 34.16666666666667
1000 34.236111111111114
0010 34.30555555555556
1000 34.375
0001 34.44444444444444
0100 34.513888888888886
0001 34.58333333333333
1000 34.65277777777778
0010 34.72222222222222
1000 34.791666666666664
0001 34.86111111111111
0010 34.93055555555556
0100 35.0
1000 35.06944444444444
0100 35.138888888888886
1000 35.20833333333333
0001 35.27777777777778
1000 35.34722222222222
0010 35.416666666666664
0100 35.48611111111111
0001 35.55555555555556
0100 35.833333333333336
1000 36.111111111111114
0100 36.38888888888889
0001 36.52777777777778
0100 36.66666666666667
0010 36.80555555555556
1000 36.94444444444445
0100 37.083333333333336
0001 37.22222222222223
0100 37.361111111111114
0010 37.50000000000001
0001 37.63888888888889
1000 37.77777777777778
0010 37.84722222222222
0100 37.916666666666664
0001 37.986111111111114
1000 38.05555555555556
0001 38.125
0010 38.19444444444444
0100 38.26388888888889
1000 38.333333333333336
0100 38.40277777777778
1000 38.47222222222222
0001 38.541666666666664
0100 38.611111111111114
0010 38.68055555555556
1000 38.75
0010 38.81944444444444
1000 38.88888888888889
0001 38.958333333333336
1000 39.02777777777778
0100 39.09722222222223
0010 39.16666666666667
0001 39.236111111111114
1000 39.30555555555556
0010 39.37500000000001
1000 39.44444444444445
0001 39.51388888888889
0100 39.583333333333336
0010 39.65277777777778
1000 39.72222222222223
0001 39.79166666666667
0010 39.861111111111114
0100 39.93055555555556
2000 40.0
3002 40.27777777777778
0103 40.486111111111114
0010 40.55555555555556
