TITLE Abracadabra
BPM   128.01
NOTES
1100 7.8054141082727915
0001 8.27412749003984
0100 8.508484180923364
0001 8.742840871806889
1000 8.977197562690414
0100 9.211554253573938
0101 9.680267635340988
1000 10.148981017108037
0100 10.383337707991561
1000 10.617694398875086
0001 10.73487274431685
1000 10.85205108975861
0001 11.086407780642135
0010 11.320764471525662
1100 11.555121162409186
0001 12.023834544176236
0100 12.25819123505976
0001 12.492547925943285
1000 12.72690461682681
0100 12.961261307710334
0101 13.429974689477385
1000 13.898688071244434
0100 14.133044762127959
1000 14.367401453011484
0001 14.484579798453247
1000 14.601758143895008
0001 14.836114834778533
0010 15.07047152566206
1100 15.304828216545582
1000 15.539184907429107
0100 15.773541598312631
1000 16.007898289196156
0001 16.242254980079682
0001 16.47661167096321
0100 16.71096836184673
0001 16.945325052730258
1000 17.17968174361378
0001 17.33591953753613
1000 17.414038434497307
0001 17.53121677993907
1000 17.64839512538083
0100 17.882751816264356
1000 17.999930161706118
0100 18.11710850714788
1000 18.351465198031406
0001 18.58582188891493
0100 18.820178579798455
0101 19.054535270681978
0001 19.288891961565504
1000 19.406070307007266
0100 19.757605343332553
0010 19.874783688774315
0100 19.991962034216076
1000 20.226318725099603
0001 20.460675415983125
0001 20.695032106866652
0101 20.92938879775018
1000 21.163745488633705
1000 21.398102179517227
0001 21.632458870400754
0001 21.866815561284277
0100 21.983993906726038
0001 22.101172252167803
0100 22.218350597609565
0001 22.335528943051326
1000 22.45270728849309
0100 22.569885633934852
0110 22.804242324818375
0001 23.0385990157019
0001 23.272955706585424
0001 23.50731239746895
0100 23.741669088352474
0100 23.976025779236
0010 24.210382470119523
1000 24.44473916100305
1001 24.679095851886572
1000 24.9134525427701
1000 25.14780923365362
0100 25.382165924537148
0010 25.61652261542067
0001 25.733700960862432
0010 25.850879306304197
0001 25.96805765174596
0010 26.08523599718772
0001 26.319592688071246
1000 26.553949378954773
0001 26.632068275915948
1000 26.710187172877124
0001 26.7883060698383
1000 26.90548441528006
0001 27.25701945160535
0100 27.49137614248887
0100 27.725732833372398
0010 27.96008952425592
0010 28.194446215139447
1001 28.42880290602297
0100 28.89751628779002
1001 29.131872978673545
0001 29.600586360440595
0100 29.834943051324117
0010 29.95212139676588
0100 30.069299742207644
0010 30.186478087649405
0100 30.303656433091167
0001 30.616132020935865
1000 30.928607608780567
1000 31.241083196625265
0010 31.553558784469967
0001 31.866034372314665
1000 32.17850996015936
1000 32.53004499648465
1000 32.881580032809936
0010 33.11593672369346
0100 33.23311506913522
0010 33.35029341457698
1000 33.467471760018746
0100 33.58465010546051
1000 33.70182845090227
0001 33.819006796344034
0100 33.93618514178579
0010 34.05336348722756
1000 34.404898523552845
0100 34.52207686899461
0100 34.81502273259901
0010 35.22514694164518
0001 35.45950363252871
0100 35.576681977970466
0001 35.69386032341223
0100 35.81103866885399
0001 35.928217014295754
0100 36.27975205062104
0010 36.39693039606281
0010 36.68987625966721
1000 36.98282212327162
0100 37.100000468713375
0100 37.334357159596905
1000 37.45153550503866
0001 37.56871385048043
0101 37.80307054136395
0100 38.17804124677759
1000 38.55301195219123
1000 38.92798265760487
1000 39.30295336301851
0001 39.677924068432155
0001 40.02945910475744
0001 40.38099414108273
0100 40.61535083196625
0010 40.73252917740802
1000 40.849707522849776
0100 40.96688586829154
1000 41.084064213733306
0001 41.201242559175064
0100 41.31842090461683
0010 41.43559925005859
1000 41.55277759550035
