TITLE Ginback
BPM   140.0
NOTES
01 3.4285714285714284
02 3.5357142857142856
04 3.642857142857143
08 3.75
02 3.964285714285714
04 4.071428571428571
01 4.178571428571429
01 4.392857142857142
01 4.607142857142857
08 4.821428571428571
01 4.928571428571429
04 5.035714285714286
02 5.142857142857142
08 5.249999999999999
01 5.357142857142857
08 5.4642857142857135
04 5.678571428571428
02 5.785714285714285
01 5.892857142857142
01 6.107142857142857
01 6.321428571428571
08 6.535714285714285
02 6.642857142857142
04 6.75
02 6.857142857142857
08 6.9642857142857135
01 7.071428571428571
02 7.178571428571428
04 7.392857142857142
08 7.5
02 7.607142857142857
02 7.821428571428571
02 8.035714285714285
08 8.25
04 8.357142857142858
02 8.464285714285714
04 8.571428571428571
08 8.678571428571429
04 8.785714285714285
02 8.892857142857142
01 9.107142857142858
08 9.214285714285714
02 9.321428571428571
02 9.535714285714285
02 9.75
08 9.964285714285714
04 10.071428571428571
08 10.178571428571429
01 10.285714285714285
04 10.392857142857142
01 10.499999999999998
04 10.607142857142856
02 10.82142857142857
08 10.928571428571427
01 11.035714285714285
01 11.249999999999998
01 11.464285714285714
08 11.678571428571427
04 11.785714285714285
02 11.892857142857142
04 12.0
02 12.107142857142858
01 12.214285714285714
08 12.321428571428571
01 12.535714285714285
04 12.642857142857142
02 12.75
02 12.964285714285714
02 13.178571428571429
08 13.392857142857142
01 13.5
04 13.607142857142858
01 13.714285714285714
08 13.821428571428571
04 13.928571428571427
02 14.035714285714285
01 14.25
08 14.357142857142856
02 14.464285714285714
02 14.678571428571427
02 14.892857142857142
08 15.107142857142856
01 15.214285714285714
04 15.321428571428571
02 15.428571428571427
08 15.535714285714285
04 15.64285714285714
02 15.749999999999998
04 15.964285714285712
08 16.07142857142857
02 16.178571428571427
02 16.392857142857142
02 16.607142857142854
04 16.82142857142857
01 16.928571428571427
04 17.035714285714285
01 17.142857142857142
08 17.25
01 17.357142857142858
08 17.57142857142857
02 17.678571428571427
04 17.785714285714285
02 17.892857142857142
04 18.0
01 18.107142857142858
04 18.214285714285715
02 18.32142857142857
08 18.428571428571427
01 18.642857142857142
04 18.75
02 18.857142857142858
08 18.964285714285715
01 19.071428571428573
02 19.285714285714285
04 19.392857142857142
08 19.5
04 19.607142857142858
02 19.714285714285715
01 19.821428571428573
04 19.92857142857143
01 20.035714285714285
04 20.142857142857142
01 20.357142857142858
08 20.464285714285715
02 20.57142857142857
04 20.678571428571427
02 20.785714285714285
08 20.999999999999996
01 21.107142857142854
04 21.21428571428571
02 21.32142857142857
08 21.428571428571427
01 21.535714285714285
08 21.64285714285714
04 21.749999999999996
02 21.857142857142854
01 22.07142857142857
02 22.178571428571427
01 22.285714285714285
02 22.392857142857142
01 22.5
08 22.71428571428571
02 22.82142857142857
04 22.928571428571427
02 23.035714285714285
08 23.142857142857142
01 23.25
08 23.357142857142854
02 23.46428571428571
08 23.57142857142857
04 23.785714285714285
02 23.892857142857142
01 24.0
02 24.107142857142858
04 24.214285714285715
08 24.428571428571427
01 24.535714285714285
08 24.642857142857142
04 24.75
02 24.857142857142858
01 24.964285714285715
04 25.07142857142857
02 25.178571428571427
04 25.285714285714285
01 25.5
02 25.607142857142858
01 25.71428571428571
08 25.82142857142857
02 25.928571428571427
04 26.14285714285714
02 26.249999999999996
08 26.357142857142854
01 26.46428571428571
08 26.57142857142857
02 26.678571428571427
08 26.785714285714285
04 26.89285714285714
08 26.999999999999996
01 27.21428571428571
