TITLE Cheryl
BPM   96.0
NOTES
08 10.0
01 10.15625
04 10.3125
05 10.625
01 10.9375
02 11.25
04 11.40625
08 11.5625
09 11.875
01 12.1875
04 12.5
02 12.65625
08 12.8125
12 13.125
04 13.4375
02 13.75
01 13.90625
08 14.0625
09 14.375
01 14.6875
04 15.0
02 15.15625
04 15.3125
05 15.625
01 15.9375
02 16.25
04 16.40625
08 16.5625
09 16.875
01 17.1875
04 17.5
02 17.65625
08 17.8125
12 18.125
04 18.4375
02 18.75
09 19.375
09 20.0
01 20.3125
03 20.625
02 21.5625
04 21.770833333333332
08 21.875
01 22.083333333333332
08 22.395833333333332
02 22.5
08 22.708333333333332
02 22.8125
05 23.125
09 23.645833333333332
08 23.854166666666668
02 23.958333333333332
04 24.0625
01 24.270833333333332
08 24.375
04 24.583333333333332
02 24.6875
01 25.0
01 25.416666666666668
05 25.625
04 25.833333333333332
10 26.145833333333332
08 26.40625
01 26.458333333333332
08 26.510416666666668
01 26.5625
02 26.770833333333332
04 26.875
08 27.395833333333332
01 27.5
08 27.708333333333332
01 27.8125
03 28.125
06 28.645833333333332
04 28.854166666666668
08 28.958333333333332
01 29.0625
08 29.270833333333332
04 29.375
06 29.6875
03 30.0
01 30.3125
09 30.625
08 30.9375
08 31.25
02 31.5625
04 31.770833333333332
01 31.875
08 32.083333333333336
02 32.395833333333336
04 32.5
02 32.708333333333336
04 32.8125
05 33.125
01 33.4375
08 33.645833333333336
02 33.854166666666664
04 33.958333333333336
01 34.0625
02 34.270833333333336
04 34.375
02 34.583333333333336
01 34.6875
08 35.0
08 35.416666666666664
10 35.625
04 35.833333333333336
09 36.145833333333336
01 36.40625
04 36.458333333333336
01 36.510416666666664
04 36.5625
01 36.770833333333336
08 36.875
02 37.1875
08 37.395833333333336
01 37.5
08 37.708333333333336
01 37.8125
12 38.125
04 38.4375
02 38.645833333333336
01 38.854166666666664
08 38.958333333333336
01 39.0625
08 39.270833333333336
02 39.375
08 39.583333333333336
01 39.6875
09 40.0
12 40.625
06 40.9375
01 41.145833333333336
02 41.25
06 41.5625
02 41.770833333333336
01 41.875
08 42.083333333333336
01 42.1875
08 42.395833333333336
02 42.5
06 43.125
05 43.4375
08 43.541666666666664
01 43.645833333333336
04 43.75
06 44.0625
08 44.270833333333336
01 44.375
08 44.583333333333336
04 44.6875
02 44.895833333333336
01 45.0
08 45.416666666666664
08 45.520833333333336
09 45.625
10 45.833333333333336
02 46.041666666666664
04 46.145833333333336
01 46.25
09 46.875
04 47.083333333333336
02 47.1875
01 47.395833333333336
08 47.5
08 47.708333333333336
01 47.8125
02 47.916666666666664
02 48.125
02 48.333333333333336
04 48.541666666666664
08 48.645833333333336
01 48.75
01 48.958333333333336
08 49.0625
02 49.166666666666664
04 49.375
04 49.583333333333336
04 49.791666666666664
05 50.0
09 50.625
12 50.9375
02 51.145833333333336
04 51.25
12 51.5625
01 51.770833333333336
04 51.875
02 52.083333333333336
08 52.1875
01 52.395833333333336
08 52.5
12 53.125
06 53.4375
01 53.541666666666664
08 53.645833333333336
02 53.75
10 54.0625
01 54.270833333333336
02 54.375
01 54.583333333333336
08 54.6875
02 54.895833333333336
08 55.0
02 55.416666666666664
02 55.520833333333336
10 55.625
10 55.833333333333336
08 56.041666666666664
04 56.145833333333336
02 56.25
02 56.458333333333336
02 56.770833333333336
01 57.083333333333336
08 57.1875
02 57.395833333333336
08 57.5
01 57.604166666666664
08 57.708333333333336
02 57.8125
04 57.916666666666664
02 58.020833333333336
08 58.125
12 58.333333333333336
06 58.541666666666664
03 58.75
08 58.854166666666664
01 58.958333333333336
04 59.0625
02 59.270833333333336
08 59.375
09 60.0
02 60.3125
04 60.46875
12 60.625
08 60.9375
01 61.25
04 61.5625
02 61.71875
10 61.875
08 62.1875
01 62.5
02 62.8125
04 62.96875
