TITLE Highscore
BPM   110.0
NOTES
2001 8.727272727272727
3010 9.409090909090908
0100 9.545454545454545
0001 9.681818181818182
1000 9.818181818181817
0200 10.363636363636363
0300 10.772727272727272
0021 10.909090909090908
0030 11.318181818181817
0001 11.59090909090909
1000 11.727272727272727
0010 11.863636363636363
0200 12.0
0300 12.409090909090908
0002 12.545454545454545
0003 12.954545454545453
1200 13.09090909090909
0300 13.499999999999998
0010 13.772727272727272
0100 13.909090909090908
1000 14.045454545454545
0002 14.18181818181818
2003 14.727272727272727
3000 15.136363636363635
0102 15.272727272727272
0003 15.68181818181818
1000 15.954545454545453
0100 16.09090909090909
1000 16.227272727272727
0020 16.363636363636363
0130 16.909090909090907
0010 17.045454545454543
0100 17.18181818181818
0010 17.318181818181817
2001 17.454545454545453
3100 18.0
0010 18.136363636363633
0001 18.27272727272727
1000 18.409090909090907
0100 18.545454545454543
0100 18.68181818181818
0100 18.818181818181817
0100 18.954545454545453
0100 19.09090909090909
0100 19.227272727272727
0100 19.363636363636363
0100 19.5
0002 19.636363636363633
1003 20.18181818181818
0010 20.318181818181813
1000 20.45454545454545
0001 20.590909090909086
0100 20.727272727272723
0100 20.86363636363636
0100 20.999999999999996
0100 21.136363636363633
0100 21.27272727272727
0100 21.409090909090907
0100 21.545454545454543
0100 21.68181818181818
2000 21.818181818181817
3010 22.363636363636363
0100 22.5
0001 22.636363636363633
1000 22.77272727272727
0100 22.909090909090907
0100 23.045454545454543
0100 23.18181818181818
0100 23.318181818181817
0100 23.454545454545453
0100 23.59090909090909
0100 23.727272727272727
0100 23.863636363636363
0020 24.0
1030 25.09090909090909
0001 25.363636363636363
1000 25.636363636363637
0010 25.90909090909091
2000 26.18181818181818
3100 26.727272727272727
0010 26.86363636363636
0001 26.999999999999996
1000 27.136363636363633
0010 27.27272727272727
0010 27.409090909090907
0010 27.545454545454543
0010 27.68181818181818
0010 27.818181818181817
0010 27.954545454545453
0010 28.09090909090909
0010 28.227272727272727
0002 28.36363636363636
1003 28.909090909090907
0100 29.04545454545454
1000 29.181818181818176
0001 29.318181818181813
0010 29.45454545454545
0010 29.590909090909086
0010 29.727272727272723
0010 29.86363636363636
0010 29.999999999999996
0010 30.136363636363633
0010 30.27272727272727
0010 30.409090909090907
0200 30.545454545454543
0310 31.09090909090909
1000 31.227272727272727
0100 31.36363636363636
1000 31.499999999999996
0010 31.636363636363633
0010 31.77272727272727
0010 31.909090909090907
0010 32.04545454545454
0010 32.18181818181818
0010 32.31818181818181
0010 32.45454545454545
0010 32.590909090909086
0002 32.72727272727273
0103 33.27272727272727
0010 33.40909090909091
1000 33.54545454545455
0001 33.68181818181818
0100 33.81818181818182
1001 34.90909090909091
