TITLE Ashtray
BPM   150.0
NOTES
1100 12.808
2000 13.408
3001 13.608
1000 14.308
0001 14.408
0020 14.808
0130 15.208
2000 15.408
3000 15.808
1001 16.008
1000 16.708
0010 16.808
0200 17.208
0310 17.608
1000 18.008
0100 18.208000000000002
0010 18.308
0001 18.408
2000 18.608
3000 19.008
1100 19.208000000000002
2000 19.808000000000003
3010 20.008000000000003
0100 20.708000000000002
0001 20.808
0200 21.208
0301 21.608
0020 21.808
0030 22.208
0110 22.408
0010 23.108
0100 23.208000000000002
2000 23.608
3001 24.008
0001 24.308
0001 24.608
0010 24.708
0100 24.808
2000 25.008
3000 25.407999999999998
1010 25.608
0010 25.808
0100 26.008
0001 26.208000000000002
1001 26.408
1000 26.608
0100 26.808
0010 27.008
0100 27.308000000000003
1000 27.608
0001 27.808000000000003
0011 28.008000000000003
0010 28.208000000000002
0001 28.408
1000 28.608
1010 28.808
0010 29.008
0100 29.208
0001 29.408
1001 29.608
1000 30.008
0100 30.208
1000 30.408
0001 30.474666666666668
1000 30.541333333333334
0001 30.608
0010 30.708000000000002
0100 31.008000000000003
1000 31.108
0001 31.208000000000002
1000 31.308
0010 31.408
0100 31.474666666666668
0010 31.541333333333334
0100 31.608
0001 31.808
1001 32.008
1000 32.208000000000006
0100 32.408
0010 32.608000000000004
0011 32.808
0001 33.008
1000 33.208000000000006
0200 33.408
0020 33.80800000000001
0330 34.208000000000006
1001 34.408
0001 34.608000000000004
0100 34.80800000000001
0010 35.008
1010 35.208000000000006
1000 35.40800000000001
0001 35.608000000000004
0100 35.80800000000001
0110 36.008
0010 36.208000000000006
1000 36.40800000000001
0001 36.608000000000004
1000 36.80800000000001
0010 36.87466666666668
1000 36.94133333333334
0010 37.00800000000001
0100 37.108000000000004
0001 37.40800000000001
1000 37.47466666666667
0001 37.54133333333334
1000 37.608000000000004
0100 37.674666666666674
1000 37.74133333333334
0200 37.80800000000001
0320 37.90800000000001
0032 38.00800000000001
0023 38.108000000000004
0230 38.208000000000006
0300 38.30800000000001
1100 38.40800000000001
1000 38.60800000000001
0001 38.80800000000001
1000 39.00800000000001
1010 39.208000000000006
0101 39.50800000000001
2002 39.80800000000001
3003 40.208000000000006
1000 40.408
0100 40.608000000000004
0110 40.808
0011 41.108000000000004
1000 41.408
1001 41.608000000000004
0001 41.80800000000001
0100 42.008
0010 42.208000000000006
0110 42.408
1001 42.708000000000006
0001 43.008
1000 43.108000000000004
0010 43.258
2000 43.40800000000001
3000 43.80800000000001
1010 44.008
1000 44.208000000000006
0001 44.40800000000001
1000 44.608000000000004
0100 44.708000000000006
1000 44.80800000000001
0001 45.00800000000001
1000 45.208000000000006
0010 45.40800000000001
1010 45.608000000000004
0101 45.90800000000001
0022 46.208000000000006
0033 46.60800000000001
0001 46.80800000000001
1000 47.00800000000001
1010 47.208000000000006
0020 47.50800000000001
1030 47.80800000000001
1001 48.008
0001 48.208000000000006
0100 48.408
0010 48.608000000000004
0110 48.808
1001 49.108000000000004
1100 49.408
0110 49.608000000000004
0011 49.908
1001 50.208000000000006
1010 50.408
1000 50.608000000000004
0010 50.708000000000006
0100 50.908
0002 51.008
0003 51.108000000000004
1001 51.208000000000006
1000 51.40800000000001
0100 51.608000000000004
1000 51.80800000000001
1001 52.008
0001 52.208000000000006
1000 52.40800000000001
0010 52.608000000000004
1000 52.90800000000001
0100 53.208000000000006
0010 53.40800000000001
0011 53.608000000000004
0001 53.80800000000001
1000 54.00800000000001
0001 54.208000000000006
0011 54.40800000000001
0020 54.80800000000001
0030 55.00800000000001
0011 55.208000000000006
0001 55.40800000000001
1000 55.60800000000001
0100 55.80800000000001
0010 56.008
0100 56.07466666666667
0010 56.141333333333336
0100 56.208000000000006
1000 56.308
0001 56.608000000000004
1001 56.808
1000 57.008
0200 57.208000000000006
0310 57.408
0011 57.608000000000004
0001 57.80800000000001
1000 58.008
0100 58.208000000000006
1100 58.408
1000 58.608000000000004
0001 58.80800000000001
0010 59.008
0100 59.30800000000001
1000 59.608000000000004
0001 59.80800000000001
0101 60.008
0100 60.208000000000006
0010 60.40800000000001
0100 60.608000000000004
0020 60.80800000000001
2000 61.208000000000006
3030 61.40800000000001
1001 61.608000000000004
0001 61.80800000000001
0100 62.00800000000001
0010 62.208000000000006
1000 62.40800000000001
0001 62.47466666666668
1000 62.54133333333334
0001 62.60800000000001
0010 62.708000000000006
0100 63.00800000000001
1100 63.208000000000006
1000 63.40800000000001
0001 63.55800000000001
0020 63.708000000000006
0030 63.90800000000001
0011 64.008
0001 64.208
0010 64.408
0100 64.60799999999999
1100 64.80799999999999
1000 65.008
0001 65.208
1000 65.408
0001 65.708
0100 66.00800000000001
0010 66.208
1010 66.408
1000 66.608
0001 66.808
0100 67.00800000000001
0102 67.208
1000 67.408
0010 67.608
1000 67.80799999999999
0103 68.008
0001 68.708
1000 69.008
0002 69.30799999999999
0003 69.508
1001 69.60799999999999
1000 69.80799999999999
0010 70.008
0100 70.208
0101 70.408
0001 70.608
1000 70.808
0100 71.008
1100 71.208
1000 71.408
0001 71.608
0010 71.808
0100 72.10799999999999
1000 72.408
0100 72.60799999999999
0110 72.80799999999999
0010 73.008
0001 73.208
1000 73.408
1001 73.608
0002 74.00800000000001
0013 74.208
0200 74.608
1300 74.808
0001 75.00800000000001
1000 75.208
0010 75.27466666666666
1000 75.34133333333334
0010 75.408
0100 75.508
0001 75.80799999999999
1000 76.008
0100 76.07466666666666
1000 76.14133333333334
0100 76.208
0010 76.30799999999999
0001 76.408
1000 76.508
0100 76.608
1100 76.808
1000 77.00800000000001
0001 77.20800000000001
0010 77.408
0011 77.608
0001 77.808
1000 78.00800000000001
0100 78.20800000000001
0010 78.508
0001 78.808
0100 79.008
0110 79.208
0010 79.408
1000 79.608
0001 79.808
1001 80.008
2000 80.408
3100 80.60799999999999
0020 81.008
0130 81.208
1000 81.408
0001 81.608
0100 81.67466666666667
0001 81.74133333333334
0200 81.808
0320 81.908
0230 82.00800000000001
0302 82.108
1003 82.208
1010 82.408
0010 82.608
0100 82.808
0010 83.00800000000001
1010 83.208
1000 83.408
0001 83.608
0010 83.80799999999999
0110 84.008
0100 84.208
1000 84.408
0001 84.608
1000 84.908
0100 85.20800000000001
0010 85.408
0011 85.608
0001 85.808
1000 86.00800000000001
0100 86.20800000000001
1100 86.408
0110 86.658
0022 86.908
0033 87.108
1001 87.208
1000 87.408
0100 87.608
0010 87.808
0100 88.008
1000 88.07466666666666
0100 88.14133333333334
1000 88.208
0001 88.30799999999999
0020 88.60799999999999
0031 88.80799999999999
1000 88.87466666666666
0001 88.94133333333333
1000 89.008
0100 89.208
0010 89.408
0011 89.608
0001 89.808
1000 90.00800000000001
0100 90.208
1100 90.408
0110 90.708
0022 91.00800000000001
0033 91.408
0001 91.608
1000 91.80799999999999
2020 92.008
3030 92.608
0101 92.808
0001 93.00800000000001
1000 93.20800000000001
0100 93.408
1100 93.608
1001 93.908
0202 94.20800000000001
0303 94.608
0001 94.808
1000 95.008
2002 95.208
3003 95.408
0001 95.608
0010 95.808
0100 95.908
1000 96.008
0001 96.208
1000 96.408
0010 96.60799999999999
1010 96.80799999999999
0110 97.10799999999999
2020 97.408
3030 97.808
1000 98.00800000000001
0001 98.208
0011 98.408
0110 98.708
1100 99.00800000000001
1001 99.208
1000 99.408
0010 99.508
0100 99.708
0001 99.80799999999999
1000 100.008
1000 100.208
0100 100.408
0010 100.508
0100 100.608
2000 100.808
3001 101.00800000000001
2000 101.108
3001 101.308
1000 101.408
1100 101.608
0200 101.808
0300 102.20800000000001
1001 102.408
1000 102.608
0010 102.808
0100 103.008
0101 103.208
0001 103.408
1000 103.608
0100 103.808
0010 104.10799999999999
0001 104.408
1000 104.60799999999999
1010 104.80799999999999
0010 105.008
1000 105.208
0001 105.408
0011 105.608
0010 105.808
0001 106.00800000000001
0010 106.208
0110 106.408
0100 106.608
1000 106.808
0001 107.00800000000001
1000 107.208
0010 107.27466666666666
1000 107.34133333333334
0010 107.408
0100 107.508
0001 107.80799999999999
1001 108.008
1000 108.208
0010 108.408
0100 108.608
0110 108.808
0010 109.00800000000001
1000 109.20800000000001
1100 109.408
0100 109.608
1001 109.808
0002 110.20800000000001
1003 110.508
0002 110.608
1003 110.908
0200 111.008
0310 111.208
0001 111.408
0010 111.608
0100 111.808
1100 112.008
1000 112.208
0001 112.408
