TITLE Debut
BPM   140.0
NOTES
1000 9.001142857142856
0001 9.858285714285714
0001 10.179714285714285
0100 10.501142857142858
0010 10.715428571428571
1000 11.572571428571429
1000 11.894
0100 12.215428571428571
0010 12.429714285714285
0001 13.286857142857142
0001 13.608285714285714
1000 13.71542857142857
0010 14.144
1000 14.251142857142858
0010 14.358285714285714
0100 14.572571428571429
0001 14.679714285714287
0100 14.786857142857142
0010 15.001142857142858
1000 15.108285714285714
0010 15.215428571428571
0100 15.322571428571429
0001 15.429714285714285
1000 15.644
0100 15.751142857142858
0020 15.858285714285714
0032 16.286857142857144
2003 16.71542857142857
3002 17.144
0203 17.57257142857143
0302 18.001142857142856
0023 18.429714285714283
0230 18.858285714285714
1300 19.07257142857143
0001 19.179714285714283
1000 19.286857142857144
1100 19.715428571428568
0001 20.144
0100 20.25114285714286
0010 20.465428571428568
1000 20.57257142857143
0001 20.786857142857144
0101 21.00114285714286
0001 21.429714285714283
1000 21.858285714285714
0001 21.965428571428575
1000 22.179714285714283
0200 22.286857142857144
0310 22.715428571428568
0011 23.144
0001 23.57257142857143
0100 23.679714285714283
0001 23.894
1000 24.001142857142852
0010 24.215428571428568
1010 24.429714285714283
0010 24.858285714285714
0200 25.286857142857144
0302 25.715428571428568
0003 25.929714285714283
1001 26.144
1000 26.358285714285714
1100 26.57257142857143
1000 26.786857142857144
1001 27.00114285714286
0001 27.215428571428575
0101 27.429714285714283
0001 27.644
1001 27.858285714285714
1000 28.07257142857143
0100 28.179714285714283
1000 28.286857142857137
0001 28.394
0010 28.501142857142852
0001 28.608285714285714
2000 28.715428571428568
3020 28.858285714285714
0230 29.001142857142852
0302 29.144
2003 29.286857142857137
3200 29.429714285714283
0320 29.57257142857143
0031 29.786857142857144
1000 29.894
0001 30.001142857142852
1000 30.215428571428568
0020 30.429714285714283
0030 30.644
0100 30.751142857142852
0001 30.858285714285714
1000 31.07257142857143
0020 31.286857142857144
0130 31.50114285714286
0001 31.608285714285714
0100 31.715428571428568
0010 31.929714285714283
2000 32.144
3000 32.358285714285714
1000 32.46542857142857
0001 32.57257142857143
0010 32.786857142857144
0200 33.00114285714285
1300 33.21542857142857
0010 33.32257142857143
1000 33.42971428571428
0100 33.644
0020 33.858285714285714
0030 34.07257142857143
0001 34.17971428571428
1000 34.28685714285714
0010 34.50114285714285
0200 34.71542857142857
0301 34.92971428571428
0010 35.03685714285714
0001 35.144
1000 35.358285714285714
0020 35.57257142857142
0030 35.78685714285714
0100 35.894
0001 36.00114285714285
1000 36.108285714285714
0100 36.21542857142857
1000 36.32257142857142
0020 36.42971428571428
0130 36.644
0001 36.75114285714285
0100 36.858285714285714
0010 37.07257142857143
2000 37.28685714285714
3000 37.50114285714285
0001 37.608285714285714
1000 37.71542857142857
0100 37.92971428571428
0020 38.144
0130 38.358285714285714
1000 38.46542857142857
0100 38.57257142857143
0010 38.786857142857144
0002 39.00114285714285
0003 39.21542857142857
0001 39.32257142857143
1000 39.42971428571428
0010 39.644
0200 39.858285714285714
0301 40.07257142857143
1000 40.17971428571428
0001 40.286857142857144
0100 40.50114285714286
0020 40.71542857142857
0030 40.92971428571428
0010 41.036857142857144
1000 41.144
0001 41.358285714285714
0011 41.57257142857142
0010 41.78685714285714
0100 42.00114285714285
1000 42.21542857142857
0002 42.429714285714276
0203 42.64399999999999
2300 42.85828571428571
3200 43.07257142857142
0320 43.28685714285714
1030 43.50114285714285
0001 43.60828571428571
