TITLE Xepher
BPM   180.0
NOTES
0001 11.657333333333332
0010 11.712888888888887
0100 11.768444444444443
1000 11.823999999999998
0100 11.879555555555553
0010 11.93511111111111
0002 11.990666666666666
1003 13.157333333333332
0010 13.240666666666666
0200 13.324
0301 14.324
2002 14.657333333333332
3000 14.990666666666666
2003 15.323999999999998
3200 15.990666666666666
0320 16.657333333333334
0030 16.990666666666666
0022 17.324
0030 17.657333333333334
2003 17.99066666666667
3000 18.324
2002 18.657333333333334
3003 19.657333333333334
2020 19.990666666666666
3030 20.990666666666666
0202 21.324
0303 23.990666666666666
2000 26.657333333333334
3200 26.990666666666666
0302 27.324
0103 27.657333333333334
0100 27.824
1000 27.990666666666666
0001 28.157333333333334
0100 28.240666666666666
0001 28.323999999999998
0010 28.490666666666666
0100 28.573999999999998
1000 28.657333333333334
0001 28.740666666666666
1000 28.907333333333334
0010 28.990666666666666
1000 29.157333333333334
0001 29.240666666666666
2000 29.324
3020 29.657333333333334
0032 29.99066666666667
0013 30.324
0010 30.49066666666667
1000 30.657333333333334
0001 30.824
0100 30.907333333333334
0010 30.990666666666666
1000 31.157333333333334
0100 31.240666666666666
0010 31.324
0001 31.407333333333334
1000 31.574
0001 31.657333333333334
0010 31.824
0001 31.907333333333334
0020 31.990666666666666
0230 32.324
0302 32.657333333333334
0103 32.99066666666666
0100 33.157333333333334
0010 33.324
0001 33.49066666666666
1000 33.574
0010 33.657333333333334
0100 33.824
0001 33.907333333333334
1000 33.99066666666666
0100 34.074
0010 34.24066666666666
0001 34.324
1000 34.49066666666666
0001 34.574
0200 34.65733333333333
0320 34.99066666666666
0032 35.32399999999999
0013 35.65733333333333
0010 35.82399999999999
1000 36.15733333333333
1000 36.324
1000 36.49066666666666
0001 36.65733333333333
0100 36.74066666666666
0001 36.90733333333333
1000 36.99066666666666
0001 37.074
0100 37.15733333333333
0001 37.324
0010 37.407333333333334
0100 37.49066666666666
1000 37.574
0100 37.657333333333334
0010 37.74066666666666
0001 37.824
0010 37.907333333333334
0100 37.99066666666666
1000 38.074
0100 38.157333333333334
0010 38.24066666666666
0001 38.324
0001 38.49066666666666
1000 38.82399999999999
0010 38.99066666666666
0100 39.15733333333333
0001 39.24066666666666
1000 39.32399999999999
0001 39.40733333333333
