TITLE Oblivion
BPM   141.0
NOTES
1001 13.644021276595744
1000 14.06955319148936
0100 14.28231914893617
0010 14.495085106382978
0001 14.707851063829787
0100 14.920617021276595
0001 15.133382978723404
1000 15.346148936170213
0100 15.771680851063829
0010 15.984446808510638
0100 16.19721276595745
1000 16.409978723404258
0001 16.622744680851067
1000 16.835510638297873
1001 17.04827659574468
0001 17.4738085106383
0100 17.68657446808511
0010 17.899340425531914
1000 18.112106382978723
0100 18.324872340425532
1000 18.53763829787234
0001 18.75040425531915
0010 19.17593617021277
0100 19.388702127659577
1000 19.601468085106383
0100 19.814234042553192
1000 20.027
0001 20.23976595744681
0101 20.45253191489362
0100 20.878063829787237
0010 21.090829787234046
1000 21.30359574468085
0001 21.51636170212766
1000 21.72912765957447
0100 21.94189361702128
1100 22.154659574468088
1000 22.580191489361706
0100 22.792957446808515
0010 23.00572340425532
0001 23.21848936170213
1000 23.43125531914894
0001 23.644021276595748
0101 23.856787234042553
1010 24.707851063829786
1001 25.558914893617022
0011 25.98444680851064
0101 26.409978723404254
0100 26.835510638297873
0001 26.94189361702128
0100 27.04827659574468
0001 27.154659574468084
1000 27.26104255319149
1100 27.580191489361702
1100 27.899340425531918
1001 28.53763829787234
0001 28.96317021276596
1000 29.069553191489362
0010 29.388702127659577
0010 29.814234042553192
0010 30.23976595744681
0101 30.665297872340428
0101 30.98444680851064
0101 31.303595744680855
1100 31.94189361702128
1000 32.5801914893617
0001 32.68657446808511
0100 32.792957446808515
0001 32.89934042553192
1000 33.21848936170213
3100 33.53763829787234
0310 33.64402127659575
0001 33.85678723404256
1001 34.06955319148936
1001 34.38870212765958
1001 34.707851063829786
1100 35.346148936170216
0100 35.771680851063834
0010 35.87806382978724
0001 36.19721276595745
0001 36.62274468085107
0001 37.04827659574469
0011 37.4738085106383
0011 37.792957446808515
0011 38.11210638297872
1001 38.750404255319154
1000 39.175936170212765
0010 39.28231914893617
1000 39.38870212765957
0010 39.49508510638298
1000 39.60146808510638
0010 39.707851063829786
1000 39.81423404255319
0010 39.92061702127659
0100 40.027
0301 40.23976595744681
1000 40.34614893617021
0001 40.45253191489362
1000 40.55891489361702
0001 40.665297872340425
1000 40.77168085106383
0100 40.87806382978724
1000 41.94189361702128
0100 42.15465957446809
0010 42.3674255319149
0001 42.5801914893617
1000 42.79295744680851
0010 43.00572340425532
0100 43.11210638297872
0001 43.32487234042553
0100 43.53763829787234
0010 43.644021276595744
1000 43.85678723404256
0001 44.06955319148936
1000 44.282319148936175
0100 44.49508510638298
0010 44.70785106382979
0001 44.814234042553196
0010 45.027
