TITLE Kurukurukiikii
BPM   200.0
NOTES
0001 5.091
1000 5.166
0001 5.316
0100 5.391
0010 5.541
1000 5.691
0100 5.766
0010 5.916
0001 5.991
1000 6.141
0001 6.291
0010 6.3660000000000005
0100 6.441000000000001
1000 6.516
0001 6.591
0100 6.666
0010 6.7410000000000005
0100 6.816000000000001
0001 6.891
1000 6.966
0100 7.041
1000 7.1160000000000005
0001 7.191000000000001
0100 7.266
0010 7.341
1000 7.416
0001 7.491
0010 7.566
0100 7.641
1000 7.715999999999999
0100 7.7909999999999995
0010 7.866
0001 7.941
1000 8.016
0010 8.091
0100 8.165999999999999
0010 8.241
1000 8.315999999999999
0001 8.391
0100 8.466
0001 8.541
0100 8.616
0010 8.691
1000 8.766
0001 8.841000000000001
0010 8.916
0100 8.991000000000001
1000 9.066
0100 9.141
1000 9.216000000000001
0001 9.291
0100 9.366000000000001
0001 9.441
0100 9.516
0010 9.591000000000001
1000 9.666
0001 9.741
0010 9.816
0100 9.891
1000 9.966
0100 10.041
0010 10.116
0100 10.191
1000 10.266
0001 10.341
0100 10.416
0001 10.491
0100 10.566
0010 10.641
0100 10.716
0001 10.791
1000 10.866
0100 10.940999999999999
0010 11.016
0001 11.091
1000 11.165999999999999
0010 11.241
1000 11.315999999999999
0001 11.391
1000 11.466
0100 11.540999999999999
0010 11.616
0001 11.690999999999999
0010 11.766
0001 11.841
1000 11.915999999999999
0010 11.991
0100 12.065999999999999
0010 12.140999999999998
1000 12.216
0001 12.291
0010 12.366
0100 12.441
1000 12.516
0100 12.591000000000001
0010 12.666
0001 12.741
1000 12.816
0010 12.891
0100 12.966000000000001
0001 13.041
0100 13.116
0010 13.191
1000 13.266
0001 13.341000000000001
1000 13.416
0100 13.491
0010 13.565999999999999
0001 13.641
0010 13.716
0001 13.791
1000 13.866
0010 13.940999999999999
0100 14.016
0001 14.091
1000 14.166
0001 14.241
0010 14.315999999999999
0100 14.391
1000 14.466
0100 14.541
1000 14.616
0001 14.690999999999999
0100 14.765999999999998
0010 14.841
1000 14.915999999999999
0001 14.991
1000 15.065999999999999
0100 15.140999999999998
0010 15.216
0001 15.290999999999999
1000 15.440999999999999
0010 15.591
0100 15.741
0001 15.891
1000 15.966
0100 16.041
0010 16.116
0001 16.191
1000 16.266
0001 16.341
0100 16.416
0010 16.491
1000 16.566
0001 16.641
1000 16.716
0100 16.791
1000 16.866
0001 16.941
0100 17.016
0010 17.091
0100 17.166
0001 17.241
1000 17.316000000000003
0100 17.391000000000002
0010 17.466
0001 17.541
0010 17.616
0100 17.691000000000003
1000 17.766000000000002
0100 17.841
1000 17.916
0001 17.991
0100 18.066000000000003
0010 18.141000000000002
0100 18.216
0001 18.291
1000 18.366
0100 18.441
0010 18.516000000000002
0001 18.591
1000 18.666
0100 18.741
0010 18.816
0100 18.891000000000002
1000 18.966
0001 19.041
0100 19.116
0001 19.191
0100 19.266000000000002
0010 19.341
1000 19.416
0001 19.491
1000 19.566
0100 19.641
1000 19.716
0001 19.791
0100 19.866
0010 19.941
0100 20.016
0001 20.091
1000 20.166
0100 20.241
0010 20.316
0001 20.391
0010 20.466
0100 20.541
0010 20.616
0001 20.691
1000 20.766
0010 20.840999999999998
0100 20.916
0010 20.991
1000 21.066
0001 21.141
1000 21.215999999999998
0100 21.291
0010 21.366
0100 21.441
1000 21.516
0001 21.590999999999998
0100 21.666
0010 21.741
0100 21.816
0001 21.891
1000 21.965999999999998
0100 22.040999999999997
0010 22.116
0001 22.191
0010 22.266
0001 22.340999999999998
1000 22.415999999999997
0010 22.491
0100 22.566
0010 22.641
1000 22.715999999999998
0010 22.790999999999997
0100 22.866
0001 22.941
1000 23.016
0100 23.091
0010 23.166
0001 23.241
1000 23.316000000000003
0010 23.391000000000002
0100 23.466
0001 23.541
1000 23.616
0100 23.691000000000003
1000 23.766000000000002
0001 23.841
0100 23.916
0010 23.991
1000 24.066000000000003
0001 24.141000000000002
0010 24.216
0100 24.291
0010 24.366
0001 24.441
1000 24.516000000000002
0001 24.591
0100 24.666
0010 24.741
0100 24.816
0001 24.891000000000002
1000 24.966
0100 25.041
0010 25.116
0001 25.191
0010 25.266000000000002
0100 25.341
1000 25.416
0001 25.491
1000 26.691
0001 26.766
0100 26.840999999999998
0010 26.916
1000 26.991
0001 27.066
1000 27.141
0100 27.215999999999998
0010 27.291
0001 27.366
1000 27.441
0001 27.516
0100 27.590999999999998
0010 27.666
1000 27.741
0001 27.816
1000 27.891
0100 27.965999999999998
1000 28.040999999999997
0001 28.116
0100 28.191
0010 28.266
1000 28.340999999999998
0001 28.415999999999997
1000 28.491
0100 28.566
0010 28.641
0001 28.715999999999998
0010 28.790999999999997
0100 28.866
1000 28.941
0001 29.016
0100 29.090999999999998
0010 29.165999999999997
0100 29.240999999999996
0001 29.316
1000 29.391
0100 29.465999999999998
1000 29.540999999999997
0001 29.615999999999996
0100 29.691
0010 29.766
1000 29.840999999999998
0001 29.915999999999997
0010 29.990999999999996
0100 30.066
1000 30.141
0100 30.215999999999998
1000 30.291
0001 30.366
0100 30.441
0010 30.516000000000002
0100 30.591
0001 30.666
1000 30.741
0100 30.816
0010 30.891000000000002
0001 30.966
0010 31.041
0001 31.116
1000 31.191
0010 31.266000000000002
0100 31.341
0001 31.416
1000 31.491
0001 31.566
0010 31.641
0100 31.716
1000 31.791
0100 31.866
1000 31.941
0001 32.016
0100 32.091
0010 32.166
1000 32.241
0001 32.315999999999995
1000 32.391
0100 32.465999999999994
1000 32.541
0001 32.61599999999999
0100 32.690999999999995
0001 32.766
0100 32.840999999999994
0010 32.916
1000 32.99099999999999
0001 33.065999999999995
0010 33.141
0100 33.215999999999994
1000 33.291
0100 33.36599999999999
0010 33.440999999999995
0001 33.516
1000 33.590999999999994
0100 33.666
0010 33.74099999999999
0001 33.815999999999995
1000 33.891
0001 33.966
0100 34.041
0010 34.116
1000 34.190999999999995
0001 34.266
0010 34.341
0100 34.416
0010 34.491
0001 34.565999999999995
1000 34.641
0010 34.716
0100 34.791
0001 34.866
1000 34.940999999999995
0100 35.016
1000 35.090999999999994
0001 35.166
0100 35.24099999999999
0010 35.315999999999995
1000 35.39099999999999
0001 35.465999999999994
0010 35.541
0001 35.61599999999999
1000 35.690999999999995
0010 35.76599999999999
0100 35.840999999999994
0001 35.916
1000 35.99099999999999
0010 36.065999999999995
0100 36.14099999999999
0001 36.215999999999994
1000 36.291
0100 36.366
0010 36.440999999999995
0001 36.516
1000 36.590999999999994
0010 36.666
0100 36.741
0001 36.815999999999995
1000 36.891
0100 36.965999999999994
0010 37.041
0001 37.116
0010 37.190999999999995
0001 37.266
1000 37.340999999999994
0010 37.416
0100 37.49099999999999
0001 37.565999999999995
1000 37.64099999999999
0001 37.715999999999994
0010 37.79099999999999
0100 37.86599999999999
1000 37.940999999999995
0100 38.01599999999999
1000 38.090999999999994
0001 38.16599999999999
0100 38.24099999999999
0010 38.315999999999995
0100 38.39099999999999
0001 38.465999999999994
1000 38.54099999999999
0001 38.61599999999999
0010 38.690999999999995
0001 38.766
1000 38.840999999999994
0010 38.916
0100 38.99099999999999
0001 39.065999999999995
1000 39.141
0001 39.215999999999994
0010 39.291
0100 39.36599999999999
0010 39.440999999999995
0001 39.516
1000 39.590999999999994
0010 39.666
0100 39.74099999999999
0010 39.815999999999995
1000 39.891
0001 39.966
1000 40.041
0100 40.116
1000 40.190999999999995
0001 40.266
0100 40.341
0010 40.416
1000 40.491
0001 40.565999999999995
1000 40.641
0100 40.716
0010 40.791
0001 40.866
1000 40.940999999999995
0001 41.016
0100 41.090999999999994
0010 41.166
1000 41.24099999999999
0001 41.315999999999995
0010 41.39099999999999
0100 41.465999999999994
1000 41.541
0100 41.61599999999999
1000 41.690999999999995
0001 41.76599999999999
0100 41.840999999999994
0010 41.916
1000 41.99099999999999
0001 42.065999999999995
1000 42.14099999999999
0100 42.215999999999994
0010 42.291
0001 42.366
1000 42.440999999999995
0001 42.516
0100 42.590999999999994
0010 42.666
1000 42.741
0001 42.815999999999995
0010 42.891
0100 42.965999999999994
1000 43.041
0100 43.116
1000 43.190999999999995
0001 43.266
0100 43.340999999999994
0010 43.416
1000 43.49099999999999
0001 43.565999999999995
1000 43.64099999999999
0100 43.715999999999994
0010 43.79099999999999
0001 43.86599999999999
1000 43.940999999999995
0001 44.01599999999999
0100 44.090999999999994
0010 44.16599999999999
1000 44.24099999999999
0001 44.315999999999995
0010 44.39099999999999
0100 44.465999999999994
1000 44.54099999999999
0001 44.61599999999999
1000 44.690999999999995
0010 44.766
0100 44.916
0001 44.99099999999999
1000 45.141
0001 45.291
0010 45.36599999999999
0100 45.516
0010 45.590999999999994
0001 45.74099999999999
1000 45.891
0001 45.966
0010 46.041
0100 46.116
1000 46.190999999999995
0001 46.266
1000 46.341
0010 46.416
0100 46.491
0001 46.565999999999995
1000 46.641
0001 46.716
0010 46.791
0100 46.866
1000 46.940999999999995
0001 47.016
1000 47.090999999999994
0010 47.166
1000 47.24099999999999
0001 47.315999999999995
0010 47.39099999999999
0100 47.465999999999994
1000 47.541
0001 47.61599999999999
1000 47.690999999999995
0010 47.76599999999999
0100 47.840999999999994
0001 47.916
0100 47.99099999999999
0010 48.065999999999995
1000 48.14099999999999
0001 48.215999999999994
0010 48.291
0100 48.366
