TITLE Artemis
BPM   170.0
NOTES
1001 17.638176470588235
1001 18.344058823529412
1001 19.04994117647059
1001 19.755823529411767
1001 20.46170588235294
1001 20.814647058823528
1001 21.16758823529412
1001 21.520529411764706
0001 21.873470588235296
0010 22.04994117647059
0100 22.226411764705883
1000 22.40288235294118
0001 22.579352941176474
0100 22.66758823529412
0010 22.755823529411767
1000 22.844058823529412
0001 22.93229411764706
1000 23.285235294117648
0010 23.46170588235294
0110 23.638176470588235
0100 23.81464705882353
0001 23.991117647058825
1000 24.07935294117647
0010 24.16758823529412
1010 24.344058823529412
1000 24.520529411764706
0100 24.697
0010 24.873470588235293
0011 25.049941176470586
0001 25.226411764705883
1000 25.402882352941177
0010 25.49111764705882
0100 25.57935294117647
0001 25.755823529411764
1000 25.844058823529412
0100 25.932294117647057
0010 26.020529411764706
0100 26.108764705882354
1000 26.285235294117648
1001 26.46170588235294
0001 26.63817647058824
0100 26.81464705882353
0010 26.902882352941177
0100 26.991117647058825
0101 27.16758823529412
0001 27.344058823529412
1000 27.520529411764706
0100 27.697
0110 27.873470588235293
0010 28.04994117647059
0001 28.226411764705883
1000 28.314647058823528
0010 28.402882352941177
0100 28.57935294117647
0001 28.66758823529412
1000 28.755823529411764
0100 28.844058823529412
1000 28.93229411764706
0010 29.108764705882354
1010 29.285235294117648
1000 29.461705882352945
0010 29.63817647058824
0100 29.726411764705883
0001 29.81464705882353
1001 29.991117647058825
1000 30.16758823529412
0100 30.344058823529412
0010 30.520529411764706
0011 30.697
0001 30.873470588235296
1000 31.04994117647059
0010 31.138176470588235
0100 31.226411764705883
0001 31.402882352941177
1000 31.491117647058825
0001 31.57935294117647
1000 31.66758823529412
0010 31.755823529411767
0100 31.93229411764706
0101 32.10876470588236
0001 32.285235294117655
0010 32.461705882352945
0100 32.54994117647059
1000 32.63817647058824
1100 32.81464705882354
0100 32.99111764705883
1000 33.167588235294126
0001 33.34405882352942
0101 33.52052941176471
0100 33.69700000000001
0010 33.8734705882353
